sensor_type,timestamp,sensor_0,sensor_1,sensor_2,estimate_x,estimate_y,estimate_vx,estimate_vy,ground_truth_x,ground_truth_y,ground_truth_vx,ground_truth_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
0,1477010443000000,0.312243,0.58034,,0.312243,0.58034,0,0,0.6,0.6,5.19994,0,0.287757,0.0196602,5.19994,0
1,1477010443050000,1.01489,0.554329,4.89281,0.753232,0.651088,7.33776,-4.79465e-17,0.859997,0.600045,5.19975,0.00179686,0.217029,0.0386779,3.97558,0.00127057
0,1477010443100000,1.17385,0.481073,,1.15323,0.504448,7.17226,-1.59138,1.11998,0.600225,5.19943,0.00538996,0.17824,0.0636791,3.44008,0.921899
1,1477010443150000,1.04751,0.38924,4.51132,1.25704,0.542352,7.30915,0.149321,1.37996,0.600629,5.19898,0.0107781,0.166145,0.0623724,3.16051,0.801387
0,1477010443200000,1.65063,0.62469,,1.62301,0.580938,7.2872,0.629059,1.6399,0.601347,5.19839,0.0179597,0.148796,0.0565293,2.97719,0.767115
1,1477010443250000,1.6983,0.29828,5.20999,1.85507,0.5635,5.86691,0.0398223,1.89982,0.60247,5.19766,0.0269323,0.137055,0.0540007,2.73149,0.700297
0,1477010443300000,2.18882,0.648739,,2.16068,0.587444,5.86042,0.133547,2.1597,0.604086,5.19678,0.0376932,0.126889,0.050389,2.54128,0.649361
1,1477010443350000,2.04438,0.276002,5.04387,2.37498,0.641766,5.33834,0.40405,2.41954,0.606284,5.19573,0.0502389,0.119735,0.0487754,2.37769,0.620168
0,1477010443400000,2.65526,0.66598,,2.64333,0.662069,5.34403,0.390862,2.67932,0.609155,5.1945,0.0645654,0.113522,0.0492525,2.24226,0.59473
1,1477010443450000,2.99092,0.217668,5.19181,2.91045,0.658098,5.34983,0.203831,2.93904,0.612786,5.19309,0.080668,0.108076,0.0488728,2.12777,0.565553
0,1477010443500000,3.01222,0.637046,,3.14056,0.66018,5.29708,0.164089,3.19869,0.617267,5.19147,0.0985415,0.104526,0.0483614,2.029,0.539596
1,1477010443550000,3.59388,0.135452,5.16175,3.43026,0.554515,5.35541,-0.685243,3.45825,0.622685,5.18963,0.11818,0.100402,0.0503109,1.94321,0.566296
0,1477010443600000,3.89365,0.311793,,3.73629,0.441456,5.3332,-1.40051,3.71772,0.62913,5.18754,0.139576,0.0966004,0.0710341,1.86741,0.691718
1,1477010443650000,4.25555,0.16484,5.43333,4.01447,0.52339,5.50082,-0.669479,3.97708,0.636689,5.18519,0.162724,0.0936213,0.0748487,1.80146,0.702685
